mistake_id	text_id	sentence_id	mistake_type	error_span	correction	span_start	span_end	year	type
2	1	1	Agreement_errors	visualize	demonstrates	14	23	Exam2014_Task 1	Coincide
7	1	1	lex_item_choice	visualize	demonstrates	14	23	Exam2014_Task 1	Coincide
1	3	1	Spelling	velaiting	relating	24	33	Exam2014_Task 1	Overlap
4	3	1	Absence_explanation	velaiting to	on the percentage of	24	36	Exam2014_Task 1	Overlap
35	3	6	Articles	diagramm	the graph	520	528	Exam2014_Task 1	Coincide
3	3	6	Spelling	diagramm	diagram	520	528	Exam2014_Task 1	Coincide
39	5	3	Numerals	10 percents	10 percent	272	283	Exam2014_Task 1	Overlap
4	5	3	Numerals	percents	percent	275	283	Exam2014_Task 1	Overlap
40	5	3	Numerals	7 percents	7 percent	439	449	Exam2014_Task 1	Overlap
8	5	3	Numerals	percents	percent	441	449	Exam2014_Task 1	Overlap
57	5	5	Participial_constr	have	having	566	570	Exam2014_Task 1	Overlap
59	5	5	Voice	have being readun	having reached	566	583	Exam2014_Task 1	Overlap
28	5	5	Spelling	readun	reached	577	583	Exam2014_Task 1	Overlap
41	5	6	Numerals	20 percents	20 percent	746	757	Exam2014_Task 1	Overlap
10	5	6	Numerals	percents	percent	749	757	Exam2014_Task 1	Overlap
43	5	11	Numerals	5 percents	5 percent	1218	1228	Exam2014_Task 1	Overlap
13	5	11	Numerals	percents	percent	1220	1228	Exam2014_Task 1	Overlap
36	5	11	Articles	amount	the amount	1233	1239	Exam2014_Task 1	Coincide
44	5	11	lex_item_choice	amount	proportion	1233	1239	Exam2014_Task 1	Coincide
7	7	5	lex_item_choice	then	than	493	497	Exam2014_Task 1	Coincide
6	7	5	Spelling	then	than	493	497	Exam2014_Task 1	Coincide
11	11	3	lex_item_choice	was continning	remained as such	426	440	Exam2014_Task 1	Coincide
25	11	3	Tense_choice	was continning	remained as such	426	440	Exam2014_Task 1	Coincide
2	13	4	lex_part_choice	is in between	is between	285	298	Exam2014_Task 1	Overlap
4	13	4	Redundant_comp	in		288	290	Exam2014_Task 1	Overlap
16	13	5	Tense_form	is slighly dicrease	is slightly decreasing	389	408	Exam2014_Task 1	Overlap
3	13	5	Spelling	slighly	slightly	392	399	Exam2014_Task 1	Overlap
34	13	9	Word_order	between 2020 and 2040 how the proportion sharply grows up	how the percentage sharply increases between 2020 and 2040	857	914	Exam2014_Task 1	Overlap
22	13	9	Redundant_comp	proportion	percentage	887	897	Exam2014_Task 1	Overlap
13	13	9	Absence_comp_sent	that	which is	945	949	Exam2014_Task 1	Coincide
24	13	9	Relative_clause	that	which	945	949	Exam2014_Task 1	Coincide
13	17	3	Word_order	The most unsimilar line to others	The line least similar to the others	293	326	Exam2014_Task 1	Overlap
12	17	3	Comparative_constr	most unsimilar	least similar	297	311	Exam2014_Task 1	Overlap
1	17	3	Spelling	unsimilar	dissimilar	302	311	Exam2014_Task 1	Overlap
1	17	3	Spelling	unsimilar	dissimilar	302	311	Exam2014_Task 1	Coincide
27	17	3	Formational_affixes	unsimilar	dissimilar	302	311	Exam2014_Task 1	Coincide
46	21	1	Prepositional_noun	information of	information on	30	44	Exam2014_Task 1	Overlap
45	21	1	Articles	information	the information	30	41	Exam2014_Task 1	Overlap
48	21	2	Tense_choice	is taken	took	209	217	Exam2014_Task 1	Coincide
39	21	2	Voice	is taken	took	209	217	Exam2014_Task 1	Coincide
6	27	1	Articles	amount	the percentage	31	37	Exam2014_Task 1	Coincide
15	27	1	lex_item_choice	amount	the percentage	31	37	Exam2014_Task 1	Coincide
1	31	2	Spelling	ammount	amount	200	207	Exam2014_Task 1	Coincide
17	31	2	suggestion	ammount	percentage	200	207	Exam2014_Task 1	Coincide
25	33	5	Absence_comp_sent	The most amount of changes connected with proportion of population in Sweden	The most significant number of changes connected with the proportion of population is in Sweden	309	385	Exam2014_Task 1	Overlap
27	33	5	lex_item_choice	amount	number	318	324	Exam2014_Task 1	Overlap
14	33	6	Tense_choice	shockly increases	has increased shockly	517	534	Exam2014_Task 1	Coincide
13	33	6	Word_order	shockly increases	has increased shockly	517	534	Exam2014_Task 1	Coincide
14	35	3	Noun_number	populations	population	521	532	Exam2014_Task 1	Coincide
19	35	3	Punctuation	populations	the population,	521	532	Exam2014_Task 1	Coincide
11	37	3	Category_confusion	compacative country	country in this comparison	216	235	Exam2014_Task 1	Overlap
1	37	3	Spelling	compacative	compared	216	227	Exam2014_Task 1	Overlap
3	37	5	Tense_choice	is guaducelly increasing	gradually increases	445	469	Exam2014_Task 1	Overlap
2	37	5	Spelling	guaducelly	gradually	448	458	Exam2014_Task 1	Overlap
18	37	6	Absence_explanation	had been decreasing	decreased in number	567	586	Exam2014_Task 1	Coincide
4	37	6	Tense_choice	had been decreasing	decreased in number	567	586	Exam2014_Task 1	Coincide
27	39	2	Punctuation	it	. It	241	243	Exam2014_Task 1	Coincide
28	39	2	Capitalisation	it	. It	241	243	Exam2014_Task 1	Coincide
7	41	7	Articles	presented countries	the countries presented in the task	874	893	Exam2014_Task 1	Overlap
8	41	7	Absence_explanation	presented	presented in the task	874	883	Exam2014_Task 1	Overlap
6	41	7	Word_order	presented countries	the countries presented in the task	874	893	Exam2014_Task 1	Overlap
2	43	2	Articles	population	the elderly population	108	118	Exam2014_Task 1	Coincide
9	43	2	Absence_explanation	population	elderly population	108	118	Exam2014_Task 1	Coincide
1	45	1	lex_part_choice	a number of people after 65 years old in percentage from number of all people	the percentage of people 65 years old and over	21	98	Exam2014_Task 1	Overlap
22	45	1	Articles	a number	the percentage	21	29	Exam2014_Task 1	Overlap
10	45	2	lex_item_choice	are devided on	give	115	129	Exam2014_Task 1	Overlap
8	45	2	Spelling	devided	divided	119	126	Exam2014_Task 1	Overlap
23	45	2	Coherence	3 groups with countries	for the three countries	130	153	Exam2014_Task 1	Overlap
24	45	2	Spelling	3	three	130	131	Exam2014_Task 1	Overlap
13	45	4	Articles	slightly decrease	a slight decrease	325	342	Exam2014_Task 1	Overlap
12	45	4	Category_confusion	slightly	slight	325	333	Exam2014_Task 1	Overlap
17	45	5	lex_item_choice	become	began	414	420	Exam2014_Task 1	Coincide
36	45	5	Tense_choice	become	began	414	420	Exam2014_Task 1	Coincide
19	47	8	Modals	is sharply go up	is sharply to go up	792	808	Exam2014_Task 1	Overlap
29	47	8	Word_order	sharply go up	go up sharply	795	808	Exam2014_Task 1	Overlap
25	47	9	Linking_device	the nation become more aged, than in the USA and Sweden	where the nation is to become older than in the USA and Sweden	991	1046	Exam2014_Task 1	Overlap
28	47	9	Modals	become	is to become	1002	1008	Exam2014_Task 1	Overlap
10	49	3	Absence_comp_sent	goes	the line goes	224	228	Exam2014_Task 1	Coincide
11	49	3	lex_part_choice	goes	goes up	224	228	Exam2014_Task 1	Coincide
5	51	4	Category_confusion	Japan's	Japanese	352	359	Exam2014_Task 1	Overlap
30	51	4	Word_order	Japan's old people's proportion	proportion of Japanese old people	352	383	Exam2014_Task 1	Overlap
36	51	7	Word_order	USA's progress of aged people percentage	The growth in the percentage of Japanese elderly people	630	670	Exam2014_Task 1	Overlap
35	51	7	lex_item_choice	progress	growth	636	644	Exam2014_Task 1	Overlap
39	51	7	Comparison_degree	most tiny	lowest	678	687	Exam2014_Task 1	Coincide
38	51	7	lex_item_choice	most tiny	lowest	678	687	Exam2014_Task 1	Coincide
1	55	1	Spelling	Sugested	Suggested	0	8	Exam2014_Task 1	Coincide
16	55	1	lex_item_choice	Sugested	given	0	8	Exam2014_Task 1	Coincide
13	59	3	lex_item_choice	goes	came 	259	263	Exam2014_Task 1	Coincide
14	59	3	Tense_choice	goes	came	259	263	Exam2014_Task 1	Coincide
25	61	3	Confusion_of_structures	Here are presented 3 lines	There are 3 lines	228	254	Exam2014_Task 1	Overlap
26	61	3	Redundant_comp	presented		237	246	Exam2014_Task 1	Overlap
41	61	4	Word_choice	population's proportion	the elderly population	335	358	Exam2014_Task 1	Coincide
28	61	4	Articles	population's proportion	the elderly population	335	358	Exam2014_Task 1	Coincide
22	63	3	Punctuation	As far as can be judged according to the graph	As far as can be judged according to the graph,	270	316	Exam2014_Task 1	Overlap
7	63	3	Absence_comp_sent	can be judged	it can be judged	280	293	Exam2014_Task 1	Overlap
23	63	3	Verb_pattern	judged according	judged by	287	303	Exam2014_Task 1	Overlap
4	63	6	Spelling	Persuant	Pursuant	669	677	Exam2014_Task 1	Overlap
11	63	6	Punctuation	Persuant to investigation	Persuant to the investigation,	669	694	Exam2014_Task 1	Overlap
12	63	6	Articles	investigation	the investigation	681	694	Exam2014_Task 1	Overlap
14	65	4	Comparison_degree	more higer	higher	456	466	Exam2014_Task 1	Overlap
2	65	4	Spelling	higer	higher	461	466	Exam2014_Task 1	Overlap
5	65	5	Articles	a upword	an upward	660	668	Exam2014_Task 1	Overlap
4	65	5	Spelling	upword	upward	662	668	Exam2014_Task 1	Overlap
19	65	7	Prepositional_noun	rising of	rise in	857	866	Exam2014_Task 1	Overlap
20	65	7	Category_confusion	rising	rise	857	863	Exam2014_Task 1	Overlap
1	67	1	Spelling	analyzes	Analysis	15	23	Exam2014_Task 1	Coincide
5	67	1	Word_choice	analyzes	shows	15	23	Exam2014_Task 1	Coincide
21	69	5	Punctuation	in contrasty to other countries	in contrast to the other countries,	384	415	Exam2014_Task 1	Overlap
7	69	5	Spelling	contrasty	contrast 	387	396	Exam2014_Task 1	Overlap
1	69	6	Spelling	porpertual	perpetual	475	485	Exam2014_Task 1	Coincide
9	69	6	lex_item_choice	porpertual	continuous	475	485	Exam2014_Task 1	Coincide
12	71	3	Word_choice	started	shown	281	288	Exam2014_Task 1	Coincide
11	71	3	Voice	started	was shown	281	288	Exam2014_Task 1	Coincide
2	73	4	Spelling	developped	developed	509	519	Exam2014_Task 1	Coincide
16	73	4	lex_item_choice	developped	increased	509	519	Exam2014_Task 1	Coincide
22	75	7	Comparative_constr	bigger	as large	665	671	Exam2014_Task 1	Coincide
13	75	7	Countable_uncountable	bigger	as large	665	671	Exam2014_Task 1	Coincide
26	77	2	Word_order	It is shown by the table that there were four sectors such as building, technology, education and so on	Four sectors such as building, technology, education and hotel and catering are shown in the table	123	226	Exam2014_Task 1	Overlap
4	77	2	Absence_explanation	four sectors	four sectors observed in the survey	164	176	Exam2014_Task 1	Overlap
5	77	3	Word_order	in building sector the biggest number of people in 1998 and 2006 worked in the age of 18-25	in 1998 and in 2006 the biggest number of people who worked in the building sector were those at the age of 18-25	261	352	Exam2014_Task 1	Overlap
6	77	3	Absence_comp_sent	2006	in 2006	321	325	Exam2014_Task 1	Overlap
11	77	4	Absence_comp_sent	minimum eas the same	minimum number were people of the same age	526	546	Exam2014_Task 1	Overlap
10	77	4	Spelling	eas	was	534	537	Exam2014_Task 1	Overlap
12	77	6	Prepositions	under	at	782	787	Exam2014_Task 1	Overlap
25	77	6	Coherence	under the age of 18-25 worked in 1998	working in 1998 were at the age of 18-25	782	819	Exam2014_Task 1	Overlap
