mistake_id	text_id	sentence_id	mistake_type	error_span	correction	span_start	span_end
2	1	1	Agreement_errors	visualize	demonstrates	14	23
7	1	1	lex_item_choice	visualize	demonstrates	14	23
8	1	2	Absence_explanation	century	XXth century	200	207
30	1	1	Articles	population	the population	42	52
10	1	4	Articles	a population	the Japanese population	436	448
11	1	4	Absence_explanation	a population	the Japanese population	436	448
25	1	7	Formational_affixes	tendention	tendency	868	878
1	1	7	Spelling	tendention	tendency	868	878
33	1	7	Infinitive_constr	that population is getting	for the population to get	879	905
27	1	7	Articles	population	the population	884	894
20	2	8	Spelling	Some	Same as	1009	1013
21	2	8	Articles	Some	The same	1009	1013
31	2	11	Spelling	studen	student	1439	1445
32	2	11	Articles	studen	a student	1439	1445
4	3	1	Absence_explanation	velaiting to	on the percentage of	24	36
1	3	1	Spelling	velaiting	relating	24	33
26	3	3	Numerals	1940 to 2040 years	1940 to 2040	243	261
8	3	6	lex_item_choice	diagramm	the graph	520	528
3	3	6	Spelling	diagramm	diagram	520	528
35	3	6	Articles	diagramm	the graph	520	528
37	3	6	Articles	great increase	a great increase	535	549
36	3	6	Prepositional_noun	increase of	increase in	541	552
38	3	6	Articles	shord period	the short period	588	600
9	3	6	Spelling	shord	short	588	593
5	3	2	Spelling	hovirontal	horizontal	73	83
19	3	7	lex_item_choice	consist	was	745	752
10	3	7	Agreement_errors	consist	was	745	752
33	4	2	Spelling	oppinions	opinions	100	109
64	4	11	Articles	proportional system	the proportional system	1008	1027
5	4	13	Punctuation	Only when I was in 10th class the situation changes	Only when I was in the 10th grade did the situation change:	1132	1183
6	4	13	Confusion_of_structures	10th class	grade 10	1151	1161
7	4	13	lex_item_choice	class	grade	1156	1161
9	4	13	Word_order	the situation changes	did the situation change	1162	1183
76	4	13	Tense_choice	the situation changes	did the situation change	1162	1183
70	4	14	Voice	related with	is related to	1284	1296
11	4	14	Verb_pattern	related with	related to	1284	1296
17	4	16	Comparison_degree	attentivly	more attentively	1442	1452
16	4	16	Spelling	attentivly	attentively	1442	1452
34	4	3	Conjunctions	when	while	153	157
18	4	17	Redundant_comp	extent		1539	1545
24	4	20	Articles	right choise	the right choice	1734	1746
25	4	20	Spelling	choise	choice	1740	1746
30	4	20	Spelling	case	because	1839	1843
31	4	20	Conjunctions	case of	because	1839	1846
36	4	4	lex_item_choice	position	the opinion	249	257
35	4	4	Articles	position	the opinion	249	257
38	4	4	Category_confusion	male and female	male and female students	291	306
2	4	1	Spelling	shoulb	should	30	36
52	4	8	Articles	proportional system	the proportional system	629	648
66	4	1	Prepositions	in	at	63	65
69	4	10	Articles	number		895	901
56	4	10	Noun_number	number	the number	895	901
55	4	10	Agreement_errors	influence	influences on	930	939
77	4	10	Verb_pattern	influence	influences on	930	939
59	4	11	Articles	comparison	a conclusion	983	993
58	4	11	lex_item_choice	comparison	a conclusion	983	993
43	5	11	Numerals	5 percents	5 percent	1218	1228
13	5	11	Numerals	percents	percent	1220	1228
44	5	11	lex_item_choice	amount	proportion	1233	1239
36	5	11	Articles	amount	the amount	1233	1239
42	5	11	Numerals	25 percents	25 percent	1320	1331
15	5	11	Numerals	percents	percent	1323	1331
60	5	11	Derivation	olded	elderly	1335	1340
24	5	11	Spelling	olded	elderly	1335	1340
17	5	1	Spelling	handrend	hundred 	142	150
31	5	12	Spelling	ilse	will	1439	1443
3	5	1	Spelling	demontstrates	demonstrates	15	28
26	5	13	Prepositions	ame	as	1506	1509
39	5	3	Numerals	10 percents	10 percent	272	283
4	5	3	Numerals	percents	percent	275	283
40	5	3	Numerals	7 percents	7 percent	439	449
8	5	3	Numerals	percents	percent	441	449
57	5	5	Participial_constr	have	having	566	570
59	5	5	Voice	have being readun	having reached	566	583
28	5	5	Spelling	readun	reached	577	583
33	5	1	lex_item_choice	of age	aged	73	79
41	5	6	Numerals	20 percents	20 percent	746	757
10	5	6	Numerals	percents	percent	749	757
35	6	12	Verb_pattern	destlict someone in	deprive someone of	1012	1031
34	6	12	lex_item_choice	destlict	deprive	1012	1020
54	6	12	Derivation	destlict	deprive	1012	1020
26	6	12	Spelling	destlict	deprive	1012	1020
55	6	15	Formational_affixes	not-high	non-high	1506	1514
32	6	15	Spelling	not-high	non-high	1506	1514
4	6	3	Spelling	buch	book	158	162
47	6	16	Derivation	acceptance	accepting 	1615	1625
50	6	3	lex_item_choice	leads	makes	172	177
49	6	17	Redundant_comp	any		1731	1734
39	6	3	Spelling	sertain	certain	178	185
37	6	17	Articles	the people	people	1784	1794
40	6	3	Spelling	in a ividuals	individuals 	186	199
33	6	18	Articles	right	the right	1873	1878
41	6	6	Absence_explanation	be elected as men individual.		507	536
6	6	6	Linking_device	individual		525	535
7	6	7	Spelling	biring	being	576	582
23	6	1	Tense_form	becomes	become	58	65
42	6	7	Spelling	carachteristics	characteristics 	621	636
10	6	8	Spelling	constitiunal	constitutional	742	754
44	6	8	Articles	constitiunal	a constitutional 	742	754
9	7	10	Articles	the elderly people	elderly people	1212	1230
11	7	1	Prepositions	in	from	123	125
7	7	5	lex_item_choice	then	than	493	497
6	7	5	Spelling	then	than	493	497
4	8	1	Spelling	resent	recent	101	107
1	8	10	Noun_number	man	men	1055	1058
10	8	14	Spelling	maxing	maximising	1476	1482
11	8	14	Formational_affixes	maxing	maximising	1476	1482
6	8	6	Punctuation	:	 that	620	621
7	8	6	Absence_comp_sent	:	 that	620	621
